timestamp,green,ir,red
1630573698889,37248,282133,215658
1630573698899,37245,282162,215654
1630573698909,37245,282155,215668
1630573698919,37240,282167,215642
1630573698929,37257,282169,215665
1630573698939,37259,282147,215637
1630573698949,37257,282161,215684
1630573698959,37251,282203,215670
1630573698969,37256,282167,215674
1630573698979,37265,282172,215684
1630573698989,37263,282182,215677
1630573698999,37260,282197,215670
1630573699009,37272,282193,215671
1630573699019,37270,282181,215689
1630573699029,37275,282199,215683
1630573699039,37270,282174,215672
1630573699049,37273,282206,215674
1630573699059,37274,282233,215681
1630573699069,37279,282245,215683
1630573699079,37299,282253,215687
1630573699089,37279,282244,215705
1630573699099,37290,282256,215713
1630573699109,37295,282286,215699
1630573699119,37295,282287,215700
1630573699129,37298,282313,215707
1630573699139,37297,282273,215694
1630573699149,37309,282240,215701
1630573699159,37312,282303,215710
1630573699169,37308,282314,215724
1630573699179,37322,282317,215732
1630573699189,37330,282319,215730
1630573699199,37324,282362,215710
1630573699209,37322,282336,215714
1630573699219,37334,282331,215718
1630573699229,37337,282344,215724
1630573699239,37343,282377,215706
1630573699249,37347,282368,215742
1630573699259,37344,282397,215725
1630573699269,37353,282373,215758
1630573699279,37356,282382,215723
1630573699289,37356,282439,215740
1630573699299,37357,282443,215749
1630573699309,37368,282439,215726
1630573699319,37372,282478,215728
1630573699329,37382,282432,215764
1630573699339,37388,282458,215765
1630573699349,37393,282455,215766
1630573699359,37388,282485,215741
1630573699369,37395,282524,215747
1630573699379,37405,282508,215767
1630573699389,37399,282520,215755
1630573699399,37417,282574,215767
1630573699409,37404,282518,215773
1630573699419,37422,282496,215772
1630573699429,37413,282571,215762
1630573699439,37421,282564,215781
1630573699449,37414,282520,215738
1630573699459,37402,282523,215756
1630573699469,37396,282528,215768
1630573699479,37400,282453,215743
1630573699489,37397,282432,215734
1630573699499,37378,282425,215734
1630573699509,37381,282412,215748
1630573699519,37363,282459,215751
1630573699529,37368,282408,215731
1630573699539,37343,282368,215702
1630573699549,37346,282350,215713
1630573699559,37342,282344,215708
1630573699569,37327,282354,215720
1630573699579,37319,282327,215699
1630573699589,37310,282295,215702
1630573699599,37304,282282,215713
1630573699609,37301,282267,215698
1630573699619,37296,282249,215697
1630573699629,37283,282248,215701
1630573699639,37279,282248,215693
1630573699649,37282,282216,215703
1630573699659,37265,282226,215688
1630573699669,37265,282214,215695
1630573699679,37270,282171,215696
1630573699689,37265,282219,215683
1630573699699,37262,282169,215716
1630573699709,37261,282191,215723
1630573699719,37253,282190,215703
1630573699729,37258,282155,215709
1630573699739,37260,282211,215716
1630573699749,37253,282215,215721
1630573699759,37255,282167,215724
1630573699769,37251,282165,215729
1630573699779,37253,282162,215711
1630573699789,37255,282138,215724
1630573699799,37256,282132,215727
1630573699809,37262,282144,215741
1630573699819,37252,282146,215746
1630573699829,37258,282180,215724
1630573699839,37268,282138,215724
1630573699849,37268,282134,215742
1630573699859,37254,282203,215714
1630573699869,37261,282176,215752
1630573699879,37264,282174,215740
1630573699889,37255,282171,215728
1630573699899,37264,282209,215774
1630573699909,37262,282225,215762
1630573699919,37270,282239,215804
1630573699929,37276,282270,215812
1630573699939,37283,282256,215822
1630573699949,37283,282306,215808
1630573699959,37291,282339,215819
1630573699969,37299,282308,215867
1630573699979,37310,282387,215890
1630573699989,37320,282435,215906
1630573699999,37320,282478,215978
1630573700009,37332,282487,216012
1630573700019,37341,282581,216063
1630573700029,37364,282674,216097
1630573700039,37373,282708,216176
1630573700049,37378,282769,216223
1630573700059,37387,282896,216293
1630573700069,37402,282981,216361
1630573700079,37406,283010,216413
1630573700089,37424,283072,216434
1630573700099,37435,283166,216483
1630573700109,37441,283189,216538
1630573700119,37444,283233,216534
1630573700129,37459,283264,216605
1630573700139,37465,283284,216621
1630573700149,37471,283329,216615
1630573700159,37487,283349,216624
1630573700169,37482,283360,216628
1630573700179,37501,283336,216640
1630573700189,37500,283368,216626
1630573700199,37503,283338,216642
1630573700209,37509,283412,216642
1630573700219,37503,283377,216626
