source,lag,sign,subjects,mean_val,mean_pval,subject_frac
eda_mean,1,negative,1,-0.14949602697294234,0.02558417908104232,0.08333333333333333
eda_peak_amp_mean,1,positive,1,0.1326272313539999,0.043577685235536505,0.08333333333333333
eda_peak_count,1,negative,1,-0.18822716406828438,0.0034911393607408585,0.08333333333333333
eda_peak_count,3,negative,1,-0.1454448605754839,0.043022293223098404,0.08333333333333333
eda_slope_per_min,1,negative,2,-0.15021335081372622,0.027169973936737684,0.16666666666666666
eda_slope_per_min,2,positive,1,0.1501248647202749,0.02307067920791584,0.08333333333333333
eeg_alpha_mean_mean,1,positive,3,0.15911891533383207,0.02185159906445421,0.25
eeg_alpha_mean_mean,2,positive,2,0.16180217589234336,0.01752285887322467,0.16666666666666666
eeg_alpha_mean_mean,5,positive,2,0.16853915545421969,0.024272561100992254,0.16666666666666666
eeg_alpha_mean_slope_per_min,2,positive,1,0.22082912425703685,0.0015450801043958961,0.08333333333333333
eeg_alpha_mean_slope_per_min,3,positive,1,0.16967784504744077,0.01551265727117057,0.08333333333333333
eeg_alpha_mean_var,2,positive,1,0.16035602901622417,0.023313317051624108,0.08333333333333333
eeg_beta_alpha_ratio_mean,1,positive,1,0.141596297635853,0.03757642035502027,0.08333333333333333
eeg_beta_alpha_ratio_mean,4,negative,1,-0.1530522487090846,0.019153494442080796,0.08333333333333333
eeg_beta_alpha_ratio_mean,4,positive,1,0.20249224122435114,0.001286157885867899,0.08333333333333333
eeg_beta_alpha_ratio_mean,5,negative,1,-0.1535741200288832,0.015284310486804828,0.08333333333333333
eeg_beta_alpha_ratio_mean,5,positive,1,0.1499893190684499,0.020892007021785515,0.08333333333333333
eeg_beta_alpha_ratio_slope_per_min,2,negative,1,-0.13978832763507387,0.0321921787718807,0.08333333333333333
eeg_beta_alpha_ratio_var,2,negative,1,-0.25973054451445793,2.6752726796056573e-05,0.08333333333333333
eeg_beta_alpha_ratio_var,3,positive,1,0.15278911054732963,0.014403218590128584,0.08333333333333333
eeg_beta_alpha_ratio_var,4,positive,1,0.4200431266505237,2.3001774142365943e-12,0.08333333333333333
eeg_beta_alpha_ratio_var,5,negative,1,-0.3206217466829216,1.662565033174684e-07,0.08333333333333333
eeg_beta_mean_mean,1,positive,1,0.13441607747443418,0.032935469385135294,0.08333333333333333
eeg_beta_mean_mean,2,positive,1,0.2575401737274908,0.0002317405263407126,0.08333333333333333
eeg_beta_mean_mean,3,negative,1,-0.14329795591954478,0.026748893958194547,0.08333333333333333
eeg_beta_mean_mean,5,positive,1,0.19703027511747945,0.001671825613398248,0.08333333333333333
eeg_beta_mean_slope_per_min,2,positive,1,0.1435708232517504,0.04150652194389937,0.08333333333333333
eeg_beta_mean_var,2,positive,1,0.14348459400608007,0.04214504876228496,0.08333333333333333
eeg_delta_mean_mean,2,positive,1,0.1538657582300147,0.02153350477510485,0.08333333333333333
eeg_delta_mean_mean,3,positive,1,0.1475960129961243,0.019066988832218513,0.08333333333333333
eeg_delta_mean_mean,5,positive,1,0.14532498922026468,0.021271618670129912,0.08333333333333333
eeg_delta_mean_slope_per_min,2,positive,2,0.14760757541136182,0.033907963543876846,0.16666666666666666
eeg_delta_mean_slope_per_min,3,negative,1,-0.1540069345221944,0.01766610442130019,0.08333333333333333
eeg_delta_mean_slope_per_min,3,positive,1,0.16055005061892225,0.023495215256106528,0.08333333333333333
eeg_delta_mean_slope_per_min,5,positive,1,0.13578211541526225,0.037934085728553016,0.08333333333333333
eeg_drowsiness_index_mean,1,positive,1,0.15340297950495937,0.023169903452321776,0.08333333333333333
eeg_drowsiness_index_mean,2,positive,1,0.15336623157754603,0.02891969248350354,0.08333333333333333
eeg_drowsiness_index_mean,3,positive,1,0.1320233442545341,0.03734864258447103,0.08333333333333333
eeg_drowsiness_index_mean,4,positive,1,0.12790116577278618,0.0482617270331268,0.08333333333333333
eeg_drowsiness_index_slope_per_min,1,negative,1,-0.3231989582069909,1.5493126392325353e-07,0.08333333333333333
eeg_drowsiness_index_slope_per_min,2,positive,2,0.28084879063790524,0.01306841435450178,0.16666666666666666
eeg_drowsiness_index_var,4,positive,1,0.1249998117919003,0.04790051004729728,0.08333333333333333
eeg_gamma_mean_mean,3,negative,1,-0.18978370906661482,0.006687942203825702,0.08333333333333333
eeg_gamma_mean_mean,5,positive,1,0.22733183204966886,0.0002984366037954997,0.08333333333333333
eeg_gamma_mean_slope_per_min,3,negative,1,-0.16396544889740544,0.01881408656016834,0.08333333333333333
eeg_gamma_mean_slope_per_min,5,negative,1,-0.14237863883963642,0.02379134378997003,0.08333333333333333
eeg_gamma_mean_var,2,negative,1,-0.1415342238176356,0.031905674206717596,0.08333333333333333
eeg_gamma_mean_var,3,negative,1,-0.2654800572998686,0.000129151375785734,0.08333333333333333
eeg_gamma_mean_var,3,positive,1,0.17486020585559067,0.014234120762911905,0.08333333333333333
eeg_theta_alpha_ratio_mean,1,positive,1,0.12607460581141694,0.045133321555854214,0.08333333333333333
eeg_theta_alpha_ratio_mean,3,positive,1,0.13714229106956685,0.029515135743756547,0.08333333333333333
eeg_theta_alpha_ratio_mean,4,positive,2,0.18314245359840242,0.007869393110963446,0.16666666666666666
eeg_theta_alpha_ratio_slope_per_min,1,positive,1,0.16639931384228124,0.010956712348373523,0.08333333333333333
eeg_theta_alpha_ratio_slope_per_min,2,negative,1,-0.14970524326477921,0.017178739168187917,0.08333333333333333
eeg_theta_alpha_ratio_slope_per_min,2,positive,1,0.13210117208653852,0.04396452040361506,0.08333333333333333
eeg_theta_alpha_ratio_slope_per_min,3,negative,1,-0.17346601784465898,0.009607161209328925,0.08333333333333333
eeg_theta_alpha_ratio_slope_per_min,3,positive,1,0.13166522240988532,0.04608495723232044,0.08333333333333333
eeg_theta_alpha_ratio_slope_per_min,5,negative,1,-0.1385967115491603,0.02750692474816586,0.08333333333333333
eeg_theta_alpha_ratio_var,2,negative,1,-0.16206939695145967,0.009965025845440617,0.08333333333333333
eeg_theta_alpha_ratio_var,3,negative,1,-0.1929815093681327,0.0065881571159769866,0.08333333333333333
eeg_theta_mean_mean,1,positive,2,0.1562688376068302,0.02680773814407896,0.16666666666666666
eeg_theta_mean_mean,2,positive,2,0.14936357616131318,0.030315475902314263,0.16666666666666666
eeg_theta_mean_mean,5,positive,1,0.19085824887393177,0.0024913629057713754,0.08333333333333333
eeg_theta_mean_slope_per_min,1,positive,1,0.18017602477582567,0.003964352578304064,0.08333333333333333
eeg_theta_mean_slope_per_min,2,positive,1,0.17583625186638457,0.012530331153236257,0.08333333333333333
eeg_theta_mean_slope_per_min,3,positive,2,0.1545864797311372,0.023524867760495803,0.16666666666666666
eeg_theta_mean_var,2,positive,1,0.21786442721129767,0.0018905773618903526,0.08333333333333333
eeg_theta_mean_var,3,positive,1,0.15164893033163238,0.03385520320980539,0.08333333333333333
fore_acc_rms_mean,3,positive,2,0.15358752665914555,0.02354037866484744,0.16666666666666666
hr_mean,2,negative,1,-0.1331826663715085,0.039654168639288445,0.08333333333333333
hr_var,1,negative,1,-0.23131926117014837,0.00018864075255415233,0.08333333333333333
hr_var,4,positive,1,0.15619801394841626,0.012167591671172878,0.08333333333333333
hrv_pnn50,2,positive,1,0.16061808751312645,0.01310223114987815,0.08333333333333333
hrv_pnn50,3,negative,1,-0.16312157214493894,0.01745471957695568,0.08333333333333333
hrv_pnn50,3,positive,1,0.17757283206750687,0.011057126471691672,0.08333333333333333
hrv_pnn50,4,positive,1,0.17415894171743115,0.005290770581838559,0.08333333333333333
hrv_pnn50,5,positive,1,0.1377281063776026,0.03603943109381872,0.08333333333333333
hrv_rmssd,4,positive,1,0.1420425497256223,0.023567245545005618,0.08333333333333333
hrv_sdnn,2,negative,1,-0.16945367760047575,0.00971454398897766,0.08333333333333333
hrv_sdnn,3,negative,1,-0.1690606673869954,0.01348676107625512,0.08333333333333333
temp_slope_per_min,2,negative,1,-0.1346563461358722,0.03709655146458334,0.08333333333333333
wr_acc_rms_mean,2,negative,1,-0.18325756655422548,0.006059933137102288,0.08333333333333333
wr_acc_rms_mean,5,negative,1,-0.17955791393879003,0.005773706435930974,0.08333333333333333
