feature,mean_abs_shap
temp_mean,4.0815225
eeg_gamma_mean_mean,2.7521863
eda_mean,2.7269187
fore_acc_rms_mean,1.5747825
hr_mean,1.5172342
temp_slope_per_min,1.3996047
eeg_beta_alpha_ratio_mean,1.2598168
eda_slope_per_min,0.94027823
eeg_alpha_mean_mean,0.9150583
eeg_beta_mean_mean,0.8504237
eeg_theta_alpha_ratio_mean,0.75577253
wr_acc_rms_mean,0.72961247
eeg_theta_mean_var,0.72906375
eeg_delta_mean_var,0.6023401
eeg_delta_mean_mean,0.6002055
eeg_gamma_mean_var,0.59346455
eeg_theta_alpha_ratio_var,0.5751737
eeg_theta_mean_mean,0.54870427
hr_var,0.3529688
eeg_drowsiness_index_mean,0.34543172
eeg_theta_mean_slope_per_min,0.3177783
eeg_beta_alpha_ratio_var,0.29862675
hrv_sdnn,0.28913453
eeg_beta_mean_var,0.27289906
eeg_delta_mean_slope_per_min,0.25429812
eeg_drowsiness_index_var,0.24823833
eda_peak_count,0.22770856
eeg_alpha_mean_var,0.20539783
hrv_pnn50,0.19140431
hrv_rmssd,0.15490352
eda_peak_amp_mean,0.15422432
eeg_drowsiness_index_slope_per_min,0.14495331
eeg_alpha_mean_slope_per_min,0.14058633
eeg_gamma_mean_slope_per_min,0.13533814
eeg_theta_alpha_ratio_slope_per_min,0.10495039
eeg_beta_mean_slope_per_min,0.093084455
eeg_beta_alpha_ratio_slope_per_min,0.07547694
