medium_threshold,high_threshold,f1_macro
30.0,55.0,0.6386255369212797
28.0,55.0,0.6349778444857875
30.0,57.0,0.6242203204012778
28.0,57.0,0.6206339901586487
26.0,55.0,0.6176828810601993
32.0,55.0,0.6154394247600629
30.0,59.0,0.6104340411896322
28.0,59.0,0.6067710751161163
26.0,57.0,0.6034215611549313
30.0,61.0,0.6023134992499476
32.0,57.0,0.6011182485376034
24.0,55.0,0.6006804027924735
28.0,61.0,0.5985292052373249
30.0,63.0,0.5940377615961039
28.0,63.0,0.5902364962720982
26.0,59.0,0.5895693728511748
34.0,55.0,0.5881177946177646
32.0,59.0,0.5875543219419265
24.0,57.0,0.5864803450172986
22.0,55.0,0.5846163674402736
26.0,61.0,0.5812990504814491
32.0,61.0,0.5796551460991116
34.0,57.0,0.5739428565277778
26.0,63.0,0.5730213740855484
24.0,59.0,0.572626051564285
32.0,63.0,0.5714645111236921
22.0,57.0,0.5704608052261316
20.0,55.0,0.5684203781618774
24.0,61.0,0.5643225539640863
30.0,65.0,0.5612953271590847
34.0,59.0,0.5606650078610641
28.0,65.0,0.55765238906291
22.0,59.0,0.5566070626678928
24.0,63.0,0.5560526893754302
36.0,55.0,0.5551470060666223
20.0,57.0,0.5543062612523485
34.0,61.0,0.553031349084801
22.0,61.0,0.5482818902191418
34.0,63.0,0.5449548586728018
36.0,57.0,0.5411969203312368
26.0,65.0,0.5405867510657111
20.0,59.0,0.5404632562270114
22.0,63.0,0.5400184036899931
32.0,65.0,0.5387527660515503
30.0,67.0,0.5331593973435266
20.0,61.0,0.5321300457269
28.0,67.0,0.5296643191651015
36.0,59.0,0.5283002504099488
38.0,55.0,0.5252516331951083
20.0,63.0,0.523875940484209
24.0,65.0,0.5237352940183028
36.0,61.0,0.521005099200324
36.0,63.0,0.5130840563220026
26.0,67.0,0.5127254329664493
34.0,65.0,0.5123515534711686
38.0,57.0,0.5115453421941684
32.0,67.0,0.5106082223599514
22.0,65.0,0.5077852680336911
30.0,69.0,0.5057318943517414
28.0,69.0,0.5023669147189914
40.0,55.0,0.5015627351259956
30.0,73.0,0.49933942240278134
30.0,71.0,0.49933942240278134
30.0,75.0,0.49933942240278134
30.0,79.0,0.49933942240278134
30.0,81.0,0.49933942240278134
30.0,83.0,0.49933942240278134
30.0,77.0,0.49933942240278134
30.0,85.0,0.49933942240278134
38.0,59.0,0.49903407861117527
28.0,81.0,0.49600297745836947
28.0,85.0,0.49600297745836947
28.0,71.0,0.49600297745836947
28.0,73.0,0.49600297745836947
28.0,75.0,0.49600297745836947
28.0,77.0,0.49600297745836947
28.0,79.0,0.49600297745836947
28.0,83.0,0.49600297745836947
24.0,67.0,0.4959752630762793
38.0,61.0,0.49207266965156543
20.0,65.0,0.49171562854551176
40.0,57.0,0.48807353917209834
26.0,69.0,0.485540240330989
42.0,55.0,0.48492565618530015
38.0,63.0,0.4843102997793993
34.0,67.0,0.48425504681587817
32.0,69.0,0.483174487330085
36.0,65.0,0.48067796808854846
22.0,67.0,0.48009781444594246
26.0,85.0,0.47920100258973886
26.0,77.0,0.47920100258973886
26.0,71.0,0.47920100258973886
26.0,79.0,0.47920100258973886
26.0,73.0,0.47920100258973886
26.0,75.0,0.47920100258973886
26.0,83.0,0.47920100258973886
26.0,81.0,0.47920100258973886
32.0,75.0,0.4767808212159406
32.0,77.0,0.4767808212159406
32.0,79.0,0.4767808212159406
32.0,85.0,0.4767808212159406
32.0,83.0,0.4767808212159406
32.0,81.0,0.4767808212159406
32.0,71.0,0.4767808212159406
32.0,73.0,0.4767808212159406
