medium_threshold,high_threshold,f1_macro
29.5,52.5,0.6444703726852417
30.0,52.5,0.6438780829050915
29.0,52.5,0.6436997616555259
29.5,53.0,0.6433433647701118
30.0,53.0,0.6427594088878985
29.0,53.0,0.6425652484042261
29.5,54.0,0.6424348883374881
28.5,52.5,0.6422852190949448
29.5,52.0,0.6419779494187541
30.0,54.0,0.6418716606722271
29.0,54.0,0.6416389110019317
30.0,52.0,0.6413145480009448
29.0,52.0,0.641275462710642
28.5,53.0,0.6411450579451904
29.5,53.5,0.6406478612233673
28.0,52.5,0.6403758771801743
28.5,54.0,0.6402059685916689
30.0,53.5,0.6400640600839408
28.5,52.0,0.6399156661855
29.0,53.5,0.6398712239121837
29.5,51.5,0.6395359853096222
28.0,53.0,0.6392315114580155
29.5,55.0,0.6391683051988816
29.0,51.5,0.6388657312839672
30.0,51.5,0.6388386223859701
29.5,54.5,0.6388299844081634
30.5,52.5,0.6386337073801914
30.0,55.0,0.6386255369212797
28.5,53.5,0.638453526446111
29.0,55.0,0.6383546992033985
30.0,54.5,0.6382912684930776
28.0,54.0,0.638283469841736
27.5,52.5,0.6381392531867438
28.0,52.0,0.638049810334839
29.0,54.5,0.6380119262321527
29.5,51.0,0.6375425857591518
28.5,51.5,0.6375315966488052
30.5,53.0,0.6375247562027054
27.5,53.0,0.636992120724762
29.0,51.0,0.636978878792179
28.5,55.0,0.6369091734137394
30.0,51.0,0.636732470884133
30.5,54.0,0.6366654525832994
28.5,54.5,0.6365623652886526
28.0,53.5,0.6365429180061042
27.5,54.0,0.636038917943892
30.5,52.0,0.636008731662874
27.5,52.0,0.6358454799360697
28.5,51.0,0.6357292013738555
28.0,51.5,0.6356859488356333
29.5,55.5,0.6355578852880818
30.0,55.5,0.6350030265075693
28.0,55.0,0.6349778444857875
30.5,53.5,0.6348380685454019
29.0,55.5,0.6347575689424249
28.0,54.5,0.6346274951847675
27.5,53.5,0.6343069151259121
27.0,52.5,0.6342693842905905
28.0,51.0,0.6339497930578543
29.5,56.0,0.6335626581750086
30.5,51.5,0.6335019722975297
27.5,51.5,0.6334964102868894
30.5,55.0,0.6334474606967536
28.5,55.5,0.6333240926256104
27.0,53.0,0.6331207764302973
30.5,54.5,0.6331137207905968
30.0,56.0,0.6330037913187144
29.0,56.0,0.6327667495133064
27.5,55.0,0.6327282111637479
27.5,54.5,0.6323748099383448
27.0,54.0,0.6321664382686304
27.0,52.0,0.6320009777235386
27.5,51.0,0.6318084317130584
28.0,55.5,0.6314033412286052
28.5,56.0,0.6313372711023724
30.5,51.0,0.6312914788752698
27.0,53.5,0.6304405944642936
